Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
25/04/2023,2022,Leeds,Leicester,2.3,3.5,3.0,1.0,1.0,D,1,2,4,12,0,2,31,31,0,2,3,6,0,1,31,31
25/04/2023,2022,Aston Villa,Fulham,1.75,4.0,4.2,1.0,0.0,H,3,0,8,0,3,0,56,12,1,2,6,6,1,0,56,12
25/04/2023,2022,Wolves,Crystal Palace,2.45,3.2,3.0,2.0,0.0,H,2,1,5,4,1,1,44,12,2,1,8,5,2,1,44,12
23/04/2023,2022,Newcastle,Tottenham,1.83,3.75,4.2,6.0,1.0,H,2,1,4,3,1,1,57,36,0,1,4,5,0,0,57,36
23/04/2023,2022,Bournemouth,West Ham,2.88,3.2,2.55,0.0,4.0,A,2,1,3,3,0,1,33,27,1,2,1,6,0,2,33,27
22/04/2023,2022,Liverpool,Nott'm Forest,1.17,7.5,17.0,3.0,2.0,H,2,0,11,2,2,0,64,29,0,3,2,7,0,2,64,29
22/04/2023,2022,Leicester,Wolves,2.38,3.3,3.0,2.0,1.0,H,0,3,2,6,0,1,20,20,0,2,2,5,0,1,20,20
22/04/2023,2022,Crystal Palace,Everton,2.05,3.2,3.75,0.0,0.0,D,1,1,2,2,0,0,33,33,0,1,4,6,0,1,33,33
22/04/2023,2022,Brentford,Aston Villa,2.5,3.25,2.88,1.0,1.0,D,1,1,5,5,0,0,47,40,2,0,5,2,1,0,47,40
22/04/2023,2022,Fulham,Leeds,2.3,3.4,3.1,2.0,1.0,H,0,2,1,5,0,1,40,27,1,2,5,7,1,1,40,27
21/04/2023,2022,Arsenal,Southampton,1.2,7.0,13.0,3.0,3.0,D,3,0,11,4,2,0,80,13,0,2,0,2,0,0,80,13
17/04/2023,2022,Leeds,Liverpool,4.2,4.2,1.73,1.0,6.0,A,1,1,5,8,0,1,33,33,0,2,1,5,0,1,33,33
16/04/2023,2022,Nott'm Forest,Man United,5.5,4.0,1.62,0.0,2.0,A,0,1,4,5,0,0,33,40,1,2,2,9,1,2,33,40
16/04/2023,2022,West Ham,Arsenal,6.0,4.2,1.55,2.0,2.0,D,1,1,3,6,0,1,40,20,2,0,6,2,1,0,40,20
15/04/2023,2022,Man City,Leicester,1.14,8.5,15.0,3.0,1.0,H,3,0,9,2,3,0,86,7,0,2,2,4,0,0,86,7
15/04/2023,2022,Wolves,Brentford,2.45,3.1,3.0,2.0,0.0,H,2,1,4,4,0,1,40,13,1,1,5,4,1,0,40,13
15/04/2023,2022,Tottenham,Bournemouth,1.45,4.5,7.0,2.0,3.0,A,3,0,7,2,2,0,73,0,1,2,3,6,0,1,73,0
15/04/2023,2022,Southampton,Crystal Palace,2.8,3.1,2.7,0.0,2.0,A,0,2,4,9,0,2,13,27,1,2,6,6,1,1,13,27
15/04/2023,2022,Everton,Fulham,2.05,3.4,3.7,1.0,3.0,A,1,1,2,3,0,1,33,20,1,2,4,5,0,0,33,20
15/04/2023,2022,Chelsea,Brighton,2.63,3.4,2.63,1.0,2.0,A,0,1,2,4,0,1,40,33,1,1,5,4,1,0,40,33
15/04/2023,2022,Aston Villa,Newcastle,3.6,3.4,2.05,3.0,0.0,H,3,0,6,0,2,0,53,13,3,0,9,3,1,0,53,13
09/04/2023,2022,Liverpool,Arsenal,2.88,3.6,2.38,2.0,2.0,D,3,0,11,0,3,0,69,23,3,0,8,2,2,0,69,23
09/04/2023,2022,Leeds,Crystal Palace,2.1,3.4,3.6,1.0,5.0,A,2,0,5,3,0,0,36,36,0,3,1,6,0,1,36,36
08/04/2023,2022,Southampton,Man City,11.0,6.0,1.25,1.0,4.0,A,1,1,4,5,0,1,14,29,2,0,6,2,1,0,14,29
08/04/2023,2022,Wolves,Chelsea,4.2,3.5,1.91,1.0,0.0,H,1,2,3,5,0,1,36,14,1,1,4,4,1,1,36,14
08/04/2023,2022,Tottenham,Brighton,2.55,3.5,2.7,2.0,1.0,H,3,0,7,1,3,0,71,0,1,0,5,3,1,0,71,0
08/04/2023,2022,Leicester,Bournemouth,1.83,3.75,4.2,0.0,1.0,A,0,3,2,6,0,1,21,21,1,2,3,6,0,1,21,21
08/04/2023,2022,Fulham,West Ham,2.8,3.25,2.63,0.0,1.0,A,1,1,3,4,1,1,43,29,0,2,1,7,0,2,43,29
08/04/2023,2022,Brentford,Newcastle,3.6,3.4,2.05,1.0,2.0,A,1,0,5,4,0,0,50,43,2,1,7,4,1,1,50,43
08/04/2023,2022,Aston Villa,Nott'm Forest,1.6,4.2,5.25,2.0,0.0,H,2,1,6,4,1,1,50,14,0,3,2,9,0,2,50,14
08/04/2023,2022,Man United,Everton,1.5,4.33,6.5,2.0,0.0,H,2,0,4,0,1,0,71,21,0,1,4,8,0,1,71,21
05/04/2023,2022,West Ham,Newcastle,3.6,3.25,2.15,1.0,5.0,A,2,0,6,1,1,0,43,21,1,1,3,4,0,1,43,21
05/04/2023,2022,Man United,Brentford,1.65,4.0,5.0,1.0,0.0,H,1,0,5,2,1,0,69,23,1,1,5,4,1,0,69,23
04/04/2023,2022,Chelsea,Liverpool,2.2,3.4,3.25,0.0,0.0,D,1,1,3,4,0,1,43,29,0,2,1,5,0,1,43,29
04/04/2023,2022,Leicester,Aston Villa,2.55,3.3,2.75,1.0,2.0,A,1,2,5,5,1,1,23,23,2,0,5,1,2,0,23,23
04/04/2023,2022,Leeds,Nott'm Forest,1.7,3.75,5.0,2.0,1.0,H,1,1,3,4,0,1,31,38,0,3,1,9,0,3,31,38
04/04/2023,2022,Bournemouth,Brighton,6.0,4.2,1.53,0.0,2.0,A,2,1,4,5,0,1,36,29,0,0,5,5,0,0,36,29
03/04/2023,2022,Everton,Tottenham,3.4,3.3,2.2,1.0,1.0,D,2,1,2,2,0,1,36,14,0,2,4,8,0,1,36,14
02/04/2023,2022,Newcastle,Man United,2.4,3.4,2.9,2.0,0.0,H,1,1,3,4,0,1,54,38,1,2,4,10,1,1,54,38
02/04/2023,2022,West Ham,Southampton,1.73,3.6,5.0,1.0,0.0,H,1,0,6,2,1,0,38,23,1,1,1,1,0,0,38,23
01/04/2023,2022,Chelsea,Aston Villa,1.67,3.8,5.25,0.0,2.0,A,1,1,3,3,0,0,46,31,1,1,4,4,1,1,46,31
01/04/2023,2022,Nott'm Forest,Wolves,3.0,3.1,2.55,1.0,1.0,D,0,1,4,5,0,0,36,36,0,2,2,5,0,1,36,36
01/04/2023,2022,Crystal Palace,Leicester,2.5,3.25,2.9,2.0,1.0,H,0,1,1,2,0,0,29,36,0,2,1,5,0,1,29,36
01/04/2023,2022,Brighton,Brentford,1.67,4.0,5.0,3.0,3.0,D,2,1,5,1,1,0,54,15,1,1,3,2,1,0,54,15
01/04/2023,2022,Bournemouth,Fulham,2.55,3.3,2.8,2.0,1.0,H,1,1,3,5,0,1,31,31,1,1,3,3,0,0,31,31
01/04/2023,2022,Arsenal,Leeds,1.29,6.0,9.0,4.0,1.0,H,3,0,11,3,2,0,79,14,1,2,4,4,1,0,79,14
01/04/2023,2022,Man City,Liverpool,1.62,4.2,5.0,4.0,1.0,H,3,0,8,1,3,0,85,8,1,1,2,1,1,0,85,8
19/03/2023,2022,Arsenal,Crystal Palace,1.25,5.5,15.0,4.0,1.0,H,2,1,8,5,1,1,77,15,0,2,1,3,0,0,77,15
18/03/2023,2022,Chelsea,Everton,1.5,4.2,7.5,2.0,2.0,D,1,1,1,1,0,0,50,25,0,2,2,8,0,2,50,25
18/03/2023,2022,Wolves,Leeds,2.25,3.2,3.3,2.0,4.0,A,2,1,4,1,1,0,38,15,0,2,2,4,0,0,38,15
18/03/2023,2022,Southampton,Tottenham,4.75,3.6,1.75,3.0,3.0,D,1,2,2,4,0,1,15,23,1,2,2,5,0,1,15,23
18/03/2023,2022,Brentford,Leicester,1.91,3.6,3.75,1.0,1.0,D,2,0,7,3,1,0,54,38,1,2,4,6,1,1,54,38
18/03/2023,2022,Aston Villa,Bournemouth,1.7,3.8,5.0,3.0,0.0,H,1,2,5,8,0,2,46,15,1,2,3,4,0,0,46,15
17/03/2023,2022,Nott'm Forest,Newcastle,5.5,3.8,1.62,1.0,2.0,A,1,0,4,3,0,0,38,38,0,1,1,3,0,1,38,38
15/03/2023,2022,Southampton,Brentford,2.88,3.25,2.5,0.0,2.0,A,1,2,2,3,0,0,17,25,0,1,1,2,0,0,17,25
15/03/2023,2022,Brighton,Crystal Palace,1.44,4.2,8.0,1.0,0.0,H,2,1,5,1,1,0,50,17,0,2,2,4,0,0,50,17
12/03/2023,2022,Newcastle,Wolves,1.65,3.75,5.5,2.0,1.0,H,1,1,2,3,0,1,50,42,1,1,3,4,0,1,50,42
12/03/2023,2022,West Ham,Aston Villa,2.2,3.3,3.4,1.0,1.0,D,2,0,7,1,2,0,42,17,2,1,4,3,1,1,42,17
12/03/2023,2022,Man United,Southampton,1.36,5.0,9.0,0.0,0.0,D,2,0,7,3,1,0,75,17,1,2,1,4,0,1,75,17
12/03/2023,2022,Fulham,Arsenal,6.0,4.0,1.57,0.0,3.0,A,1,1,3,2,1,0,46,31,2,1,5,3,1,0,46,31
11/03/2023,2022,Crystal Palace,Man City,9.0,4.75,1.36,0.0,1.0,A,0,0,1,1,0,0,31,38,2,0,8,3,2,0,31,38
11/03/2023,2022,Tottenham,Nott'm Forest,1.44,4.75,7.0,3.0,1.0,H,3,0,5,0,2,0,69,0,0,2,1,7,0,2,69,0
11/03/2023,2022,Leicester,Chelsea,3.75,3.5,1.95,1.0,3.0,A,1,1,6,4,1,0,25,25,0,1,1,3,0,1,25,25
11/03/2023,2022,Leeds,Brighton,3.75,3.6,1.95,2.0,2.0,D,1,1,1,2,0,1,33,33,1,0,7,4,1,0,33,33
11/03/2023,2022,Everton,Brentford,2.7,3.25,2.7,1.0,0.0,H,2,1,2,2,0,1,31,15,1,0,3,1,1,0,31,15
11/03/2023,2022,Bournemouth,Liverpool,7.5,5.0,1.4,1.0,0.0,H,0,1,3,6,0,1,25,33,1,1,2,3,1,1,25,33
06/03/2023,2022,Brentford,Fulham,1.95,3.6,3.75,3.0,2.0,H,2,0,6,1,2,0,50,42,1,1,1,1,0,0,50,42
05/03/2023,2022,Liverpool,Man United,2.38,3.6,2.88,7.0,0.0,H,2,0,4,0,2,0,67,25,1,1,5,4,1,0,67,25
05/03/2023,2022,Nott'm Forest,Everton,2.7,3.0,2.88,2.0,2.0,D,2,0,4,1,1,0,42,33,0,3,0,8,0,3,42,33
04/03/2023,2022,Southampton,Leicester,2.75,3.3,2.6,1.0,0.0,H,0,3,1,4,0,0,9,27,1,2,4,7,1,2,9,27
04/03/2023,2022,Wolves,Tottenham,3.3,3.4,2.2,1.0,0.0,H,2,1,4,1,1,0,33,17,1,2,4,8,0,2,33,17
04/03/2023,2022,Chelsea,Leeds,1.62,4.0,5.5,1.0,0.0,H,1,1,1,1,0,0,45,27,0,2,2,4,0,0,45,27
04/03/2023,2022,Brighton,West Ham,1.8,3.6,4.5,4.0,0.0,H,2,1,4,1,1,0,45,18,0,2,1,4,0,1,45,18
04/03/2023,2022,Aston Villa,Crystal Palace,2.05,3.3,3.8,1.0,0.0,H,1,2,6,9,0,2,42,17,0,2,2,4,0,0,42,17
04/03/2023,2022,Arsenal,Bournemouth,1.22,7.0,12.0,3.0,2.0,H,1,1,6,4,1,1,75,17,1,2,1,3,0,1,75,17
04/03/2023,2022,Man City,Newcastle,1.45,4.5,7.0,2.0,0.0,H,3,0,10,3,3,0,83,8,0,0,1,1,0,0,83,8
01/03/2023,2022,Liverpool,Wolves,1.5,4.75,6.0,2.0,0.0,H,2,0,4,1,1,0,64,27,1,1,3,5,0,1,64,27
01/03/2023,2022,Arsenal,Everton,1.36,4.75,10.0,4.0,0.0,H,1,1,5,6,0,1,73,18,0,2,1,5,0,2,73,18
26/02/2023,2022,Tottenham,Chelsea,2.55,3.25,2.9,2.0,0.0,H,2,1,3,2,1,1,67,0,0,1,2,3,0,0,67,0
25/02/2023,2022,Crystal Palace,Liverpool,4.75,3.8,1.73,0.0,0.0,D,0,0,2,2,0,0,33,33,1,2,2,6,1,2,33,33
25/02/2023,2022,Bournemouth,Man City,10.0,5.75,1.29,1.0,4.0,A,0,1,2,4,0,1,27,36,1,1,4,3,1,0,27,36
25/02/2023,2022,West Ham,Nott'm Forest,1.75,3.6,5.0,4.0,0.0,H,1,1,3,3,1,1,36,18,1,1,2,3,0,1,36,18
25/02/2023,2022,Leicester,Arsenal,4.75,4.0,1.7,0.0,1.0,A,1,1,6,4,1,0,27,27,2,1,6,3,2,0,27,27
25/02/2023,2022,Leeds,Southampton,1.95,3.5,4.0,1.0,0.0,H,0,1,2,4,0,1,27,36,2,1,3,4,0,1,27,36
25/02/2023,2022,Everton,Aston Villa,2.5,3.2,3.0,0.0,2.0,A,2,1,3,2,0,0,33,17,2,1,4,3,1,1,33,17
24/02/2023,2022,Fulham,Wolves,2.5,3.2,3.0,1.0,1.0,D,2,1,4,2,1,0,50,25,1,1,3,5,0,1,50,25
19/02/2023,2022,Tottenham,West Ham,1.75,3.6,4.75,2.0,0.0,H,1,2,1,4,0,2,64,0,0,1,3,4,0,0,64,0
19/02/2023,2022,Man United,Leicester,1.62,4.33,5.25,3.0,0.0,H,2,0,6,4,0,0,73,18,1,2,5,6,1,1,73,18
18/02/2023,2022,Newcastle,Liverpool,2.5,3.5,2.7,0.0,2.0,A,1,0,2,1,0,0,55,45,0,3,1,9,0,3,55,45
18/02/2023,2022,Wolves,Bournemouth,1.67,3.6,6.0,0.0,1.0,A,2,1,4,1,1,0,36,18,0,3,0,6,0,2,36,18
18/02/2023,2022,Nott'm Forest,Man City,8.5,5.5,1.3,1.0,1.0,D,2,0,4,1,1,0,45,27,1,2,4,4,1,0,45,27
18/02/2023,2022,Everton,Leeds,2.4,3.3,3.0,1.0,0.0,H,1,2,3,6,0,1,27,18,0,2,3,5,0,0,27,18
18/02/2023,2022,Chelsea,Southampton,1.4,4.75,8.5,0.0,1.0,A,1,1,1,1,0,0,50,30,1,2,3,6,0,1,50,30
18/02/2023,2022,Brighton,Fulham,1.65,3.8,5.5,0.0,1.0,A,2,1,6,4,1,1,50,20,1,1,1,1,0,0,50,20
18/02/2023,2022,Brentford,Crystal Palace,1.83,3.5,4.5,1.0,1.0,D,3,0,8,1,3,0,55,36,1,2,3,3,1,0,55,36
18/02/2023,2022,Aston Villa,Arsenal,4.5,3.6,1.5,2.0,4.0,A,1,1,5,6,0,1,45,18,2,1,6,3,2,0,45,18
15/02/2023,2022,Arsenal,Man City,2.9,3.5,2.35,1.0,3.0,A,1,0,4,3,0,0,80,20,1,2,2,3,0,0,80,20
13/02/2023,2022,Liverpool,Everton,1.5,4.33,6.5,2.0,0.0,H,2,0,5,2,1,0,60,30,0,2,1,6,0,2,60,30
12/02/2023,2022,Man City,Aston Villa,1.25,6.5,11.0,3.0,1.0,H,2,0,8,3,2,0,82,9,3,0,5,1,1,0,82,9
12/02/2023,2022,Leeds,Man United,3.75,3.8,1.91,0.0,2.0,A,0,1,3,5,0,1,30,40,1,1,4,4,0,0,30,40
11/02/2023,2022,Bournemouth,Newcastle,6.5,4.0,1.53,1.0,1.0,D,1,1,4,3,1,1,30,30,1,0,3,0,1,0,30,30
11/02/2023,2022,Southampton,Wolves,2.9,3.2,2.55,1.0,2.0,A,0,3,1,5,0,1,10,30,1,1,3,5,0,1,10,30
11/02/2023,2022,Leicester,Tottenham,3.4,3.6,2.1,4.0,1.0,H,0,2,2,6,0,1,20,30,2,1,7,4,1,1,20,30
11/02/2023,2022,Fulham,Nott'm Forest,1.91,3.5,4.33,2.0,0.0,H,2,1,4,3,0,0,45,27,1,1,2,4,0,1,45,27
