Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
29/10/2022,2022,Goias,Corinthians,2.79,3.0,2.73,0.0,0.0,D,0,2,2,4,0,0,31,44,1,1,3,3,0,0,31,44
28/10/2022,2022,Cuiaba,Avai,1.84,3.38,4.52,1.0,0.0,H,1,2,4,5,0,0,25,44,0,3,0,9,0,3,25,44
27/10/2022,2022,Atletico-MG,Juventude,1.2,6.52,13.96,1.0,0.0,H,1,1,2,1,1,0,38,31,0,3,1,10,0,3,38,31
27/10/2022,2022,Sao Paulo,Atletico GO,1.64,3.84,5.31,2.0,1.0,H,2,1,7,2,2,0,44,31,1,1,4,4,0,0,44,31
27/10/2022,2022,Fortaleza,Coritiba,1.45,4.33,7.05,3.0,1.0,H,2,0,5,2,1,0,31,44,0,3,1,8,0,2,31,44
27/10/2022,2022,Internacional,Ceara,1.63,3.72,5.65,2.0,1.0,H,2,0,5,2,1,0,62,31,0,2,0,2,0,0,62,31
27/10/2022,2022,Goias,America MG,2.94,3.15,2.47,2.0,2.0,D,0,2,1,3,0,0,33,40,2,1,5,3,1,0,33,40
27/10/2022,2022,Corinthians,Fluminense,2.23,3.09,3.49,0.0,2.0,A,3,0,6,2,1,0,69,25,1,2,5,5,1,1,69,25
26/10/2022,2022,Botafogo RJ,Bragantino,2.29,3.19,3.22,2.0,1.0,H,1,2,3,4,1,1,25,25,0,2,2,6,0,1,25,25
26/10/2022,2022,Flamengo RJ,Santos,1.38,4.72,8.17,3.0,2.0,H,2,0,5,1,1,0,62,19,1,2,2,2,1,0,62,19
26/10/2022,2022,Athletico-PR,Palmeiras,6.1,3.8,1.59,1.0,3.0,A,2,0,4,1,1,0,56,38,2,0,5,2,1,0,56,38
25/10/2022,2022,Fortaleza,Atletico-MG,2.4,2.97,3.27,0.0,0.0,D,2,1,6,5,1,1,33,40,1,2,2,3,0,0,33,40
23/10/2022,2022,Cuiaba,Goias,1.71,3.57,5.1,1.0,2.0,A,1,1,4,4,0,0,27,47,0,1,4,6,0,1,27,47
23/10/2022,2022,Coritiba,Internacional,3.99,3.39,1.95,1.0,1.0,D,3,0,5,1,1,0,62,12,2,0,3,1,0,0,62,12
23/10/2022,2022,Atletico GO,Ceara,2.27,3.18,3.27,1.0,0.0,H,1,1,5,5,0,0,31,25,0,1,1,2,0,0,31,25
23/10/2022,2022,Juventude,Sao Paulo,4.43,3.43,1.85,1.0,2.0,A,0,0,4,4,0,0,12,50,2,0,4,1,1,0,12,50
23/10/2022,2022,Fluminense,Botafogo RJ,1.86,3.43,4.4,2.0,2.0,D,2,1,6,3,1,1,62,12,3,0,4,1,0,0,62,12
23/10/2022,2022,Palmeiras,Avai,1.16,7.47,17.28,3.0,0.0,H,2,0,5,0,1,0,62,25,0,2,1,7,0,2,62,25
22/10/2022,2022,Santos,Corinthians,2.59,2.86,3.13,0.0,1.0,A,2,1,7,3,2,0,50,25,0,1,3,4,0,0,50,25
22/10/2022,2022,America MG,Flamengo RJ,2.76,3.21,2.63,1.0,2.0,A,1,2,3,4,0,0,50,19,1,1,5,5,0,0,50,19
22/10/2022,2022,Bragantino,Athletico-PR,2.12,3.27,3.55,4.0,2.0,H,1,1,3,4,0,1,44,31,0,2,2,5,0,1,44,31
21/10/2022,2022,Sao Paulo,Coritiba,1.4,4.46,8.39,3.0,1.0,H,1,1,5,2,1,0,40,33,0,3,0,7,0,2,40,33
18/10/2022,2022,Bragantino,Santos,1.98,3.2,4.14,0.0,2.0,A,1,0,5,4,0,0,47,33,0,3,1,4,0,0,47,33
16/10/2022,2022,Avai,Fluminense,4.05,3.29,1.97,0.0,3.0,A,1,2,3,4,0,0,38,25,1,2,4,6,0,1,38,25
16/10/2022,2022,Athletico-PR,Coritiba,1.67,3.7,5.25,1.0,0.0,H,1,0,5,3,1,0,53,40,0,3,0,8,0,3,53,40
16/10/2022,2022,Botafogo RJ,Internacional,2.64,3.09,2.8,0.0,1.0,A,1,1,3,3,1,1,27,27,1,0,4,3,0,0,27,27
16/10/2022,2022,Juventude,Atletico GO,2.74,3.13,2.68,1.0,1.0,D,0,0,4,4,0,0,13,47,1,2,3,5,0,1,13,47
16/10/2022,2022,Palmeiras,Sao Paulo,1.64,3.8,5.38,0.0,0.0,D,3,0,7,1,1,0,67,20,2,0,5,2,1,0,67,20
16/10/2022,2022,Ceara,Cuiaba,2.02,3.06,4.23,1.0,1.0,D,0,2,2,5,0,1,19,44,0,2,3,6,0,1,19,44
16/10/2022,2022,America MG,Fortaleza,2.14,3.26,3.51,1.0,2.0,A,2,1,4,2,1,0,53,20,1,0,3,2,0,0,53,20
16/10/2022,2022,Flamengo RJ,Atletico-MG,2.6,3.03,2.94,1.0,0.0,H,1,1,5,3,1,0,60,20,2,1,4,2,1,0,60,20
11/10/2022,2022,Santos,Juventude,1.46,4.12,7.67,4.0,1.0,H,1,2,4,4,1,0,47,27,0,3,1,8,0,2,47,27
10/10/2022,2022,Atletico GO,Palmeiras,5.55,3.86,1.62,1.0,1.0,D,1,2,4,6,0,1,33,20,2,0,6,3,1,0,33,20
