Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
18/03/2023,2022,Oostende,Westerlo,2.88,3.3,2.25,1,2,A,1,1,3,2,1,1,36,7,1,1,2,3,0,1,36,7
18/03/2023,2022,Kortrijk,Club Brugge,4.2,3.8,1.65,1,0,H,0,1,4,5,0,0,21,29,0,1,2,5,0,1,21,29
17/03/2023,2022,Cercle Brugge,Genk,2.7,3.4,2.38,1,1,D,1,0,6,4,1,0,43,43,1,0,7,6,0,0,43,43
12/03/2023,2022,Anderlecht,Cercle Brugge,2.05,3.5,3.3,2,0,H,1,0,5,3,1,0,36,21,1,0,4,3,0,0,36,21
12/03/2023,2022,Genk,St. Gilloise,2.2,3.4,3.0,1,2,A,2,1,7,1,2,0,86,7,1,1,4,5,0,1,86,7
12/03/2023,2022,Waregem,Gent,3.2,3.6,1.95,2,6,A,0,1,5,6,0,0,21,29,0,2,5,8,0,1,21,29
12/03/2023,2022,Club Brugge,Standard,1.7,3.8,4.33,2,0,H,1,0,5,3,1,0,50,43,1,0,7,5,1,0,50,43
11/03/2023,2022,Seraing,Antwerp,7.5,4.33,1.4,0,2,A,1,1,3,4,0,1,7,21,1,0,2,1,0,0,7,21
11/03/2023,2022,Westerlo,Kortrijk,1.67,4.0,4.33,3,1,H,2,0,9,5,2,0,50,21,1,1,5,4,1,0,50,21
11/03/2023,2022,Eupen,Oostende,2.5,3.4,2.6,4,4,D,1,0,5,4,0,0,29,21,0,1,3,6,0,1,29,21
11/03/2023,2022,Mechelen,St Truiden,2.15,3.25,3.1,1,0,H,1,0,7,6,0,0,43,36,0,2,2,5,0,1,43,36
10/03/2023,2022,Charleroi,Oud-Heverlee Leuven,1.85,3.6,3.6,0,1,A,2,1,4,1,1,0,43,7,0,3,1,5,0,1,43,7
05/03/2023,2022,St. Gilloise,Eupen,1.25,5.5,12.0,2,1,H,2,1,7,4,1,1,69,15,0,2,2,6,0,2,69,15
05/03/2023,2022,Gent,Anderlecht,2.05,3.4,3.5,1,0,H,1,1,4,3,1,0,54,23,2,0,5,2,1,0,54,23
05/03/2023,2022,Antwerp,Mechelen,1.53,4.2,5.75,5,0,H,2,0,6,1,2,0,77,15,1,2,3,4,1,1,77,15
